time recorded,turntable temp, turntable velocity, turntable goal, turntable position, turntable torque, shoulder temp, shoulder velocity, shoulder goal, shoulder position, shoulder torque, elbow temp, elbow velocity, elbow goal, elbow position, elbow torque, wrist temp, wrist velocity, wrist goal, wrist position, wrist torque, wrist rotation temp, wrist rotation velocity, wrist rotation goal, wrist rotation position, wrist rotation torque, gripper temp, gripper velocity, gripper goal, gripper position, gripper torque
1530844859,29,0,2054,2054,1,28,0,3186,3186,1,27,0,443,443,1,28,0,1579,1579,1,28,0,2048,2048,1,28,0,2510,2510,1,
1530844865,29,0,2054,2054,1,28,0,3186,3186,1,27,0,443,443,1,28,0,1579,1579,1,28,0,2048,2048,1,28,0,2510,2510,1,
1530844870,29,0,2054,2054,1,28,0,3186,3186,1,27,0,443,443,1,28,0,1579,1579,1,28,0,2048,2048,1,29,0,2510,2510,1,
1530844870,29,0,2054,2054,1,28,0,3186,3186,1,27,0,443,443,1,28,0,1579,1579,1,28,0,2048,2048,1,29,0,2510,2510,1,
1530844876,29,0,2054,2054,1,28,0,3186,3186,1,27,0,443,443,1,28,0,1579,1579,1,28,0,2048,2048,1,29,0,2510,2510,1,
1530844876,29,0,2054,2054,1,28,0,3186,3186,1,27,0,443,443,1,28,0,1579,1579,1,28,0,2048,2048,1,29,0,2510,2510,1,
1530844881,29,0,2054,2054,1,28,0,3186,3186,1,27,0,443,443,1,28,0,1579,1579,1,28,0,2048,2048,1,29,0,2510,2510,1,
1530844759,29,0,2054,2054,1,28,0,3186,3186,1,27,0,443,443,1,29,0,1579,1579,1,28,0,2048,2048,1,28,0,2510,2510,1,
1530844759,30,0,2054,2054,1,28,0,3186,3186,1,27,0,443,443,1,28,0,1579,1579,1,28,0,2048,2048,1,28,0,2510,2510,1,
1530844892,30,0,2054,2054,1,28,0,3186,3186,1,27,0,443,443,1,28,0,1579,1579,1,28,0,2048,2048,1,28,0,2510,2510,1,
1530844892,29,0,2054,2054,1,28,0,3186,3186,1,27,0,443,443,1,29,0,1579,1579,1,28,0,2048,2048,1,28,0,2510,2510,1,
1530844898,29,0,2054,2054,1,28,0,3186,3186,1,27,0,443,443,1,29,0,1579,1579,1,28,0,2048,2048,1,28,0,2510,2510,1,
1530844903,29,0,2054,2054,1,28,0,3186,3186,1,27,0,443,443,1,28,0,1579,1579,1,28,0,2048,2048,1,28,0,2510,2510,1,
1530844903,29,0,2045,2045,1,28,0,3190,3189,1,27,0,476,478,1,29,0,1617,1617,1,28,0,2048,2048,1,28,0,2510,2510,1,
1530844903,29,0,2045,2045,1,28,0,3190,3189,1,27,0,476,478,1,29,0,1617,1617,1,28,0,2048,2048,1,28,0,2510,2510,1,
1530844903,29,0,2036,2036,1,28,0,3193,3195,1,27,0,509,510,1,29,0,1653,1654,1,28,0,2048,2048,1,28,0,2510,2510,1,
1530844909,29,0,2036,2036,1,28,0,3193,3195,1,27,0,509,510,1,29,0,1653,1654,1,28,0,2048,2048,1,28,0,2510,2510,1,
1530844914,29,0,2028,2027,1,28,0,3195,3194,1,27,0,542,542,1,28,0,1688,1688,1,28,0,2048,2048,1,29,0,2510,2510,1,
1530844914,30,0,2020,2020,1,28,0,3194,3194,1,28,0,575,575,1,28,0,1721,1722,1,28,0,2048,2048,1,29,0,2510,2510,1,
1530844919,30,0,2020,2020,1,28,0,3194,3194,1,28,0,575,575,1,28,0,1721,1722,1,28,0,2048,2048,1,29,0,2510,2510,1,
1530844919,29,0,2012,2011,1,28,0,3193,3193,1,28,0,608,609,1,28,0,1752,1752,1,28,0,2048,2048,1,28,0,2510,2510,1,
1530844925,29,0,2012,2011,1,28,0,3193,3193,1,28,0,608,609,1,28,0,1752,1752,1,28,0,2048,2048,1,28,0,2510,2510,1,
1530844930,30,0,2004,2004,1,28,0,3190,3190,1,28,0,641,641,1,28,0,1782,1783,1,28,0,2048,2048,1,29,0,2510,2510,1,
1530844930,30,0,1997,1997,1,28,0,3186,3187,1,28,0,674,675,1,28,0,1812,1812,1,28,0,2048,2048,1,28,0,2510,2510,1,
1530844936,30,0,1997,1997,1,28,0,3186,3187,1,28,0,674,675,1,28,0,1812,1812,1,28,0,2048,2048,1,28,0,2510,2510,1,
1530844936,29,0,1990,1990,1,28,0,3182,3181,1,28,0,707,706,1,28,0,1840,1842,1,28,0,2048,2048,1,28,0,2510,2510,1,
1530844941,29,0,1990,1990,1,28,0,3182,3181,1,28,0,707,706,1,28,0,1840,1842,1,28,0,2048,2048,1,28,0,2510,2510,1,
1530844947,29,0,1982,1981,1,28,0,3176,3176,1,28,0,741,743,1,28,0,1868,1868,1,28,0,2048,2048,1,28,0,2510,2510,1,
1530844947,29,0,1975,1975,1,28,0,3170,3170,1,28,0,775,783,1,28,0,1896,1897,1,28,0,2048,2048,1,29,0,2510,2510,1,
