time recorded,turntable temp, turntable velocity, turntable goal, turntable position, turntable torque, shoulder temp, shoulder velocity, shoulder goal, shoulder position, shoulder torque, elbow temp, elbow velocity, elbow goal, elbow position, elbow torque, wrist temp, wrist velocity, wrist goal, wrist position, wrist torque, wrist rotation temp, wrist rotation velocity, wrist rotation goal, wrist rotation position, wrist rotation torque, gripper temp, gripper velocity, gripper goal, gripper position, gripper torque
1536067927,23,0,2434,2434,1,24,0,2629,2629,1,25,0,616,616,1,26,0,1195,1195,1,27,0,2048,2048,1,26,0,2470,2470,1,
1536067927,23,0,2434,2434,1,24,0,2629,2629,1,25,0,616,616,1,26,0,1195,1195,1,27,0,2048,2048,1,26,0,2470,2470,1,
1536067927,23,0,2434,2434,1,24,0,2629,2629,1,25,0,616,616,1,26,0,1195,1195,1,27,0,2048,2048,1,26,0,2470,2470,1,
1536067933,23,0,2434,2434,1,24,0,2629,2629,1,25,0,616,616,1,26,0,1195,1195,1,27,0,2048,2048,1,26,0,2470,2470,1,
1536067938,23,0,2434,2434,1,24,0,2629,2629,1,25,0,616,616,1,26,0,1195,1195,1,27,0,2048,2048,1,26,0,2470,2470,1,
1536067938,23,0,2434,2434,1,24,0,2629,2629,1,25,0,616,616,1,26,0,1195,1195,1,27,0,2048,2048,1,26,0,2470,2470,1,
1536067944,23,0,2434,2434,1,24,0,2629,2629,1,25,0,616,616,1,26,0,1195,1195,1,27,0,2048,2048,1,26,0,2470,2470,1,
1536067944,23,0,2434,2434,1,24,0,2629,2629,1,25,0,616,616,1,26,0,1195,1195,1,27,0,2048,2048,1,27,0,2470,2470,1,
1536067949,23,0,2434,2434,1,24,0,2629,2629,1,25,0,616,616,1,26,0,1195,1195,1,27,0,2048,2048,1,27,0,2470,2470,1,
1536067955,23,0,2434,2434,1,24,0,2629,2629,1,25,0,616,616,1,26,0,1195,1195,1,27,0,2048,2048,1,27,0,2470,2470,1,
1536067955,23,0,2434,2434,1,24,0,2629,2629,1,25,0,616,616,1,26,0,1195,1195,1,27,0,2048,2048,1,27,0,2470,2470,1,
1536067960,23,0,2434,2434,1,24,0,2629,2629,1,25,0,616,616,1,26,0,1195,1195,1,27,0,2048,2048,1,27,0,2470,2470,1,
