time recorded,rocker horizontal,rocker vertical,toggle horizontal,toggle vertical,blu button time depressed,flap,potentiometer lever,potentional knob
1536066790,0,0,0,0,0,0,39,30,
1536066790,0,0,0,0,0,0,39,30,
1536066795,0,0,0,0,0,0,39,29,
1536066800,0,0,0,0,0,0,39,30,
1536066800,0,0,0,0,0,0,39,30,
1536066806,0,0,0,0,0,0,39,30,
1536066806,0,0,0,0,0,0,39,30,
1536066811,0,0,0,0,0,0,39,30,
1536066817,0,0,0,0,0,0,39,29,
1536066817,0,0,0,0,0,0,39,29,
1536066817,0,0,0,0,0,0,39,31,
1536066817,0,0,0,0,0,0,39,31,
1536066822,0,0,0,0,0,0,39,30,
1536066828,0,0,0,0,0,0,39,29,
1536066828,0,0,0,0,0,0,39,29,
1536066833,0,0,0,0,0,0,39,23,
1536066833,0,0,0,0,0,0,39,23,
1536066839,0,0,0,0,0,0,39,31,
1536066844,0,0,0,0,0,0,39,29,
1536066844,0,0,0,0,0,0,39,29,
1536066850,0,0,0,0,0,0,39,29,
1536066850,0,0,0,0,0,0,39,29,
1536066855,0,0,0,0,0,0,39,29,
1536066861,0,0,0,0,0,0,39,29,
1536066861,0,0,0,0,0,0,39,29,
1536066866,0,0,0,0,0,0,39,23,
1536066866,0,0,0,0,0,0,39,23,
1536066872,0,0,0,0,0,0,39,31,
1536066877,0,0,0,0,0,0,39,30,
1536066877,0,0,0,0,0,0,39,30,
1536066877,0,0,0,0,0,0,39,30,
1536066877,0,0,0,0,0,0,39,30,
1536066882,0,0,0,0,0,0,39,29,
1536066888,0,0,0,0,0,0,39,31,
1536066888,0,0,0,0,0,0,39,31,
1536066893,0,0,0,0,0,0,39,29,
1536066893,0,0,0,0,0,0,39,29,
1536066899,0,0,0,0,0,0,39,23,
1536066904,0,0,0,0,0,0,39,30,
1536066904,0,0,0,0,0,0,39,30,
1536066910,0,0,0,0,0,0,39,30,
1536066910,0,0,0,0,0,0,39,30,
1536066915,0,0,0,0,0,0,39,30,
1536066921,0,0,0,0,0,0,39,29,
1536066921,0,0,0,0,0,0,39,29,
1536066926,0,0,0,0,0,0,39,31,
1536066926,0,0,0,0,0,0,39,31,
1536066932,0,0,0,0,0,0,39,29,
1536066937,0,0,0,0,0,0,39,29,
1536066937,0,0,0,0,0,0,39,29,
1536066937,0,0,0,0,0,0,39,30,
1536066937,0,0,0,0,0,0,39,30,
1536066943,0,0,0,0,0,0,39,29,
1536066948,0,0,0,0,0,0,39,31,
1536066948,0,0,0,0,0,0,39,31,
1536066954,0,0,0,0,0,0,39,23,
1536066954,0,0,0,0,0,0,39,23,
1536034191,0,0,0,0,0,0,39,31,
1536066964,0,0,0,0,0,0,39,31,
1536066964,0,0,0,0,0,0,39,31,
1536066970,0,0,0,0,0,0,39,31,
1536066970,0,0,0,0,0,0,39,31,
1536066975,0,0,0,0,0,0,39,29,
1536066981,0,0,0,0,0,0,39,31,
1536066981,0,0,0,0,0,0,39,31,
1536066986,0,0,0,0,0,0,39,30,
1536066986,0,0,0,0,0,0,39,30,
1536066992,0,0,0,0,0,0,39,31,
1536066997,0,0,0,0,0,0,39,31,
1536066997,0,0,0,0,0,0,39,31,
1536066997,0,0,0,0,0,0,39,30,
1536066997,0,0,0,0,0,0,39,30,
1536067003,0,0,0,0,0,0,39,30,
1536067008,0,0,0,0,0,0,39,31,
1536067008,0,0,0,0,0,0,39,31,
1536067014,0,0,0,0,0,0,39,30,
1536067014,0,0,0,0,0,0,39,30,
1536067019,0,0,0,0,0,0,39,31,
1536067025,0,0,0,0,0,0,39,31,
1536067025,0,0,0,0,0,0,39,31,
1536067030,0,0,0,0,0,0,39,30,
1536067030,0,0,0,0,0,0,39,30,
1536067036,0,0,0,0,0,0,39,30,
1536067041,0,0,0,0,0,0,39,31,
1536067041,0,0,0,0,0,0,39,31,
1536067046,0,0,0,0,0,0,39,30,
1536067046,0,0,0,0,0,0,39,30,
1536067052,0,0,0,0,0,0,39,29,
1536067052,0,0,0,0,0,0,39,31,
1536067052,0,0,0,0,0,0,39,31,
1536067057,0,0,0,0,0,0,39,29,
1536067057,0,0,0,0,0,0,39,29,
1536067063,0,0,0,0,0,0,39,30,
1536067068,0,0,0,0,0,0,39,30,
1536067068,0,0,0,0,0,0,39,30,
1536067074,0,0,0,0,0,0,39,31,
1536067074,0,0,0,0,0,0,39,31,
1536067079,0,0,0,0,0,0,39,30,
1536067085,0,0,0,0,0,0,39,30,
1536067085,0,0,0,0,0,0,39,30,
1536067090,0,0,0,0,0,0,39,31,
1536067090,0,0,0,0,0,0,39,31,
1536067096,0,0,0,0,0,0,39,30,
1536067101,0,0,0,0,0,0,39,31,
1536067101,0,0,0,0,0,0,39,31,
1536067107,0,0,0,0,0,0,39,31,
1536067107,0,0,0,0,0,0,39,31,
1536067112,0,0,0,0,0,0,39,31,
1536067112,0,0,0,0,0,0,39,31,
1536067112,0,0,0,0,0,0,39,31,
1536067118,0,0,0,0,0,0,39,31,
1536067118,0,0,0,0,0,0,39,31,
1536067123,0,0,0,0,0,0,39,31,
1536067128,0,0,0,0,0,0,39,31,
1536067128,0,0,0,0,0,0,39,31,
1536067134,0,0,0,0,0,0,39,31,
1536067134,0,0,0,0,0,0,39,31,
1536067139,0,0,0,0,0,0,39,31,
1536067145,0,0,0,0,0,0,39,30,
1536067145,0,0,0,0,0,0,39,30,
1536067149,0,0,0,0,0,0,39,30,
1536067149,0,0,0,0,0,0,39,30,
1536067155,0,0,0,0,0,0,39,31,
1536067160,0,0,0,0,0,0,39,30,
1536067160,0,0,0,0,0,0,39,30,
1536067166,0,0,0,0,0,0,39,31,
1536067166,0,0,0,0,0,0,39,31,
1536067171,0,0,0,0,0,0,39,30,
1536067171,0,0,0,0,0,0,39,23,
1536067171,0,0,0,0,0,0,39,23,
1536067177,0,0,0,0,0,0,39,31,
1536067177,0,0,0,0,0,0,39,31,
1536067182,0,0,0,0,0,0,39,31,
1536067188,0,0,0,0,0,0,39,23,
1536067188,0,0,0,0,0,0,39,23,
1536067193,0,0,0,0,0,0,39,32,
1536067193,0,0,0,0,0,0,39,32,
1536067199,0,0,0,0,0,0,39,30,
1536067204,0,0,0,0,0,0,39,31,
1536067204,0,0,0,0,0,0,39,31,
1536067209,0,0,0,0,0,0,39,30,
1536067209,0,0,0,0,0,0,39,30,
1536067215,0,0,0,0,0,0,39,30,
1536067220,0,0,0,0,0,0,39,30,
1536067220,0,0,0,0,0,0,39,30,
1536067226,0,0,0,0,0,0,39,32,
1536067226,0,0,0,0,0,0,39,32,
1536067231,0,0,0,0,0,0,39,31,
1536067231,0,0,0,0,0,0,39,30,
1536067231,0,0,0,0,0,0,39,30,
1536067237,0,0,0,0,0,0,39,30,
1536067237,0,0,0,0,0,0,39,30,
1536067242,0,0,0,0,0,0,39,31,
1536067248,0,0,0,0,0,0,39,31,
1536067248,0,0,0,0,0,0,39,31,
1536067253,0,0,0,0,0,0,39,31,
1536067253,0,0,0,0,0,0,39,31,
1536067259,0,0,0,0,0,0,39,31,
1536067265,0,0,0,0,0,0,39,30,
1536067265,0,0,0,0,0,0,39,30,
1536067271,0,0,0,0,0,0,39,30,
1536067271,0,0,0,0,0,0,39,30,
1536067276,0,0,0,0,0,0,39,31,
1536067282,0,0,0,0,0,0,39,31,
1536067282,0,0,0,0,0,0,39,31,
1536067287,0,0,0,0,0,0,39,31,
1536067287,0,0,0,0,0,0,39,31,
1536067287,0,0,0,0,0,0,39,31,
1536067292,0,0,0,0,0,0,39,31,
1536067292,0,0,0,0,0,0,39,31,
1536067298,0,0,0,0,0,0,39,24,
1536067298,0,0,0,0,0,0,39,24,
1536067303,0,0,0,0,0,0,39,30,
1536067309,0,0,0,0,0,0,39,32,
1536067309,0,0,0,0,0,0,39,32,
1536067314,0,0,0,0,0,0,39,30,
1536067314,0,0,0,0,0,0,39,30,
1536067320,0,0,0,0,0,0,39,30,
1536067325,0,0,0,0,0,0,39,31,
1536067325,0,0,0,0,0,0,39,31,
1536067331,0,0,0,0,0,0,39,30,
1536067331,0,0,0,0,0,0,39,30,
1536067336,0,0,0,0,0,0,39,30,
1536067342,0,0,0,0,0,0,39,30,
1536067342,0,0,0,0,0,0,39,30,
1536067347,0,0,0,0,0,0,39,30,
1536067347,0,0,0,0,0,0,39,30,
1536067347,0,0,0,0,0,0,39,24,
1536067353,0,0,0,0,0,0,39,32,
1536067353,0,0,0,0,0,0,39,32,
1536067358,0,0,0,0,0,0,39,31,
1536067358,0,0,0,0,0,0,39,31,
1536067364,0,0,0,0,0,0,39,32,
1536067369,0,0,0,0,0,0,39,30,
1536067369,0,0,0,0,0,0,39,30,
1536067374,0,0,0,0,0,0,39,30,
1536067374,0,0,0,0,0,0,39,30,
1536067380,0,0,0,0,0,0,39,30,
1536067385,0,0,0,0,0,0,39,30,
1536067385,0,0,0,0,0,0,39,30,
1536067391,0,0,0,0,0,0,39,24,
1536067391,0,0,0,0,0,0,39,24,
1536067396,0,0,0,0,0,0,39,31,
1536067402,0,0,0,0,0,0,39,30,
1536067402,0,0,0,0,0,0,39,30,
1536067407,0,0,0,0,0,0,39,31,
1536067407,0,0,0,0,0,0,39,31,
1536067407,0,0,0,0,0,0,39,32,
1536067413,0,0,0,0,0,0,39,23,
1536067413,0,0,0,0,0,0,39,23,
1536067418,0,0,0,0,0,0,39,30,
1536067418,0,0,0,0,0,0,39,30,
1536067424,0,0,0,0,0,0,39,32,
1536067429,0,0,0,0,0,0,39,30,
1536067429,0,0,0,0,0,0,39,30,
1536067435,0,0,0,0,0,0,39,23,
1536067435,0,0,0,0,0,0,39,23,
1536067440,0,0,0,0,0,0,39,31,
1536067446,0,0,0,0,0,0,39,23,
1536067446,0,0,0,0,0,0,39,23,
1536067451,0,0,0,0,0,0,39,30,
1536067451,0,0,0,0,0,0,39,30,
1536067456,0,0,0,0,0,0,39,30,
1536067462,0,0,0,0,0,0,39,30,
1536067462,0,0,0,0,0,0,39,30,
1536067462,0,0,0,0,0,0,39,30,
1536067462,0,0,0,0,0,0,39,30,
1536067467,0,0,0,0,0,0,39,30,
1536067473,0,0,0,0,0,0,39,30,
1536067473,0,0,0,0,0,0,39,30,
1536067478,0,0,0,0,0,0,39,30,
1536067478,0,0,0,0,0,0,39,30,
1536067484,0,0,0,0,0,0,39,31,
1536067489,0,0,0,0,0,0,39,30,
1536067489,0,0,0,0,0,0,39,30,
1536067495,0,0,0,0,0,0,39,23,
1536067495,0,0,0,0,0,0,39,23,
1536067500,0,0,0,0,0,0,39,31,
1536067506,0,0,0,0,0,0,39,30,
1536067506,0,0,0,0,0,0,39,30,
1536067511,0,0,0,0,0,0,39,30,
1536067511,0,0,0,0,0,0,39,30,
1536067517,0,0,0,0,0,0,39,24,
1536067522,0,0,0,0,0,0,39,30,
1536067522,0,0,0,0,0,0,39,30,
1536067522,0,0,0,0,0,0,39,32,
1536067522,0,0,0,0,0,0,39,32,
1536067400,0,0,0,0,0,0,39,30,
1536067533,0,0,0,0,0,0,39,31,
1536067533,0,0,0,0,0,0,39,31,
1536067538,0,0,0,0,0,0,39,30,
1536067538,0,0,0,0,0,0,39,30,
1536067544,0,0,0,0,0,0,39,30,
1536067549,0,0,0,0,0,0,39,32,
1536067549,0,0,0,0,0,0,39,32,
1536067555,0,0,0,0,0,0,39,32,
1536067555,0,0,0,0,0,0,39,32,
1536067560,0,0,0,0,0,0,39,32,
1536067566,0,0,0,0,0,0,39,31,
1536067566,0,0,0,0,0,0,39,31,
1536067571,0,0,0,0,0,0,39,32,
1536067571,0,0,0,0,0,0,39,32,
1536067577,0,0,0,0,0,0,39,32,
1536067582,0,0,0,0,0,0,39,30,
1536067582,0,0,0,0,0,0,39,30,
1536067582,0,0,0,0,0,0,39,31,
1536067582,0,0,0,0,0,0,39,31,
1536067588,0,0,0,0,0,0,39,32,
1536067593,0,0,0,0,0,0,39,32,
1536067593,0,0,0,0,0,0,39,32,
1536067599,0,0,0,0,0,0,39,32,
1536067599,0,0,0,0,0,0,39,32,
1536067604,0,0,0,0,0,0,39,24,
1536067610,0,0,0,0,0,0,39,31,
1536067610,0,0,0,0,0,0,39,31,
1536067615,0,0,0,0,0,0,39,31,
1536067615,0,0,0,0,0,0,39,31,
1536067621,0,0,0,0,0,0,39,31,
1536067626,0,0,0,0,0,0,39,30,
1536067626,0,0,0,0,0,0,39,30,
1536067631,0,0,0,0,0,0,39,31,
1536067631,0,0,0,0,0,0,39,31,
1536067637,0,0,0,0,0,0,39,24,
