time recorded,turntable temp, turntable velocity, turntable goal, turntable position, turntable torque, shoulder temp, shoulder velocity, shoulder goal, shoulder position, shoulder torque, elbow temp, elbow velocity, elbow goal, elbow position, elbow torque, wrist temp, wrist velocity, wrist goal, wrist position, wrist torque, wrist rotation temp, wrist rotation velocity, wrist rotation goal, wrist rotation position, wrist rotation torque, gripper temp, gripper velocity, gripper goal, gripper position, gripper torque
1535793787,25,0,2434,2434,1,23,0,2633,2632,1,23,0,615,616,1,24,0,1204,1204,1,24,0,2048,2048,1,23,0,2470,2470,1,
1535793787,25,0,2434,2434,1,24,0,2633,2632,1,23,0,615,616,1,24,0,1204,1204,1,24,0,2048,2048,1,24,0,2470,2470,1,
1535793792,25,0,2434,2434,1,24,0,2633,2632,1,23,0,615,616,1,24,0,1204,1204,1,24,0,2048,2048,1,24,0,2470,2470,1,
1535793798,25,0,2434,2434,1,24,0,2633,2632,1,23,0,615,616,1,24,0,1204,1204,1,24,0,2048,2048,1,24,0,2470,2470,1,
1535793798,25,0,2434,2434,1,24,0,2633,2632,1,24,0,615,616,1,24,0,1204,1204,1,24,0,2048,2048,1,24,0,2470,2470,1,
1535793803,25,0,2434,2434,1,24,0,2633,2632,1,24,0,615,616,1,24,0,1204,1204,1,24,0,2048,2048,1,24,0,2470,2470,1,
1535793803,25,0,2434,2434,1,24,0,2633,2632,1,24,0,615,616,1,24,0,1204,1204,1,24,0,2048,2048,1,24,0,2470,2470,1,
1535793803,25,0,2434,2434,1,24,0,2633,2632,1,24,0,615,616,1,24,0,1204,1204,1,24,0,2048,2048,1,24,0,2470,2470,1,
1535793809,25,0,2434,2434,1,24,0,2633,2632,1,24,0,615,616,1,24,0,1204,1204,1,24,0,2048,2048,1,23,0,2470,2470,1,
1535793809,25,0,2434,2434,1,24,0,2633,2632,1,23,0,615,616,1,24,0,1204,1204,1,24,0,2048,2048,1,24,0,2470,2470,1,
1535793814,25,0,2434,2434,1,24,0,2633,2632,1,23,0,615,616,1,24,0,1204,1204,1,24,0,2048,2048,1,24,0,2470,2470,1,
1535793814,25,0,2434,2434,1,24,0,2633,2632,1,23,0,615,616,1,24,0,1204,1204,1,24,0,2048,2048,1,24,0,2470,2470,1,
1535793820,25,0,2434,2434,1,24,0,2633,2632,1,23,0,615,616,1,24,0,1204,1204,1,24,0,2048,2048,1,24,0,2470,2470,1,
1535793825,25,0,2434,2434,1,24,0,2633,2632,1,23,0,615,616,1,24,0,1204,1204,1,24,0,2048,2048,1,24,0,2470,2470,1,
1535793825,25,0,2434,2434,1,24,0,2633,2632,1,23,0,615,616,1,24,0,1204,1204,1,24,0,2048,2048,1,24,0,2470,2470,1,
1535793830,25,0,2434,2434,1,24,0,2633,2632,1,23,0,615,616,1,24,0,1204,1204,1,24,0,2048,2048,1,24,0,2470,2470,1,
1535793830,25,0,2434,2434,1,24,0,2633,2632,1,24,0,615,616,1,24,0,1204,1204,1,24,0,2048,2048,1,24,0,2470,2470,1,
1535793836,25,0,2434,2434,1,24,0,2633,2632,1,24,0,615,616,1,24,0,1204,1204,1,24,0,2048,2048,1,24,0,2470,2470,1,
1535793841,25,0,2434,2434,1,24,0,2633,2632,1,23,0,615,616,1,24,0,1204,1204,1,24,0,2048,2048,1,24,0,2470,2470,1,
1535793841,25,0,2434,2434,1,24,0,2633,2632,1,24,0,615,616,1,24,0,1204,1204,1,24,0,2048,2048,1,24,0,2470,2470,1,
1535793847,25,0,2434,2434,1,24,0,2633,2632,1,24,0,615,616,1,24,0,1204,1204,1,24,0,2048,2048,1,24,0,2470,2470,1,
1535793847,25,0,2434,2434,1,24,0,2633,2632,1,24,0,615,616,1,24,0,1204,1204,1,24,0,2048,2048,1,25,0,2470,2470,1,
1535793847,25,0,2434,2434,1,24,0,2633,2632,1,24,0,615,616,1,24,0,1204,1204,1,24,0,2048,2048,1,25,0,2470,2470,1,
1535793858,25,0,2434,2434,1,24,0,2633,2632,1,24,0,615,616,1,24,0,1204,1204,1,24,0,2048,2048,1,24,0,2470,2470,1,
1535793858,25,0,2434,2434,1,24,0,2633,2632,1,24,0,615,616,1,24,0,1204,1204,1,25,0,2048,2048,1,24,0,2470,2470,1,
1535793863,25,0,2434,2434,1,24,0,2633,2632,1,24,0,615,616,1,24,0,1204,1204,1,25,0,2048,2048,1,24,0,2470,2470,1,
1535793863,25,0,2434,2434,1,24,0,2633,2632,1,25,0,615,616,1,24,0,1204,1204,1,25,0,2048,2048,1,24,0,2470,2470,1,
1535793863,25,0,2434,2434,1,24,0,2633,2632,1,25,0,615,616,1,24,0,1204,1204,1,25,0,2048,2048,1,24,0,2470,2470,1,
1535793869,25,0,2434,2434,1,24,0,2633,2632,1,24,0,615,616,1,25,0,1204,1204,1,25,0,2048,2048,1,25,0,2470,2470,1,
1535793869,25,0,2434,2434,1,24,0,2633,2632,1,25,0,615,616,1,25,0,1204,1204,1,25,0,2048,2048,1,24,0,2470,2470,1,
1535793874,25,0,2434,2434,1,24,0,2633,2632,1,25,0,615,616,1,25,0,1204,1204,1,25,0,2048,2048,1,24,0,2470,2470,1,
1535793874,25,0,2434,2434,1,24,0,2633,2632,1,24,0,615,616,1,25,0,1204,1204,1,25,0,2048,2048,1,24,0,2470,2470,1,
1535793880,25,0,2434,2434,1,24,0,2633,2632,1,24,0,615,616,1,25,0,1204,1204,1,25,0,2048,2048,1,24,0,2470,2470,1,
1535793885,25,0,2434,2434,1,24,0,2633,2632,1,24,0,615,616,1,25,0,1204,1204,1,25,0,2048,2048,1,25,0,2470,2470,1,
1535793885,25,0,2434,2434,1,24,0,2633,2632,1,24,0,615,616,1,25,0,1204,1204,1,25,0,2048,2048,1,25,0,2470,2470,1,
1535793885,25,0,2434,2434,1,24,0,2633,2632,1,24,0,615,616,1,25,0,1204,1204,1,25,0,2048,2048,1,25,0,2470,2470,1,
1535793885,25,0,2434,2434,1,24,0,2633,2632,1,24,0,615,616,1,25,0,1204,1204,1,25,0,2048,2048,1,24,0,2470,2470,1,
1535793896,25,0,2434,2434,1,24,0,2633,2632,1,24,0,615,616,1,25,0,1204,1204,1,25,0,2048,2048,1,24,0,2470,2470,1,
1535793897,25,0,2434,2434,1,24,0,2633,2632,1,24,0,615,616,1,25,0,1204,1204,1,25,0,2048,2048,1,25,0,2470,2470,1,
1535793897,25,0,2434,2434,1,24,0,2633,2632,1,25,0,615,616,1,25,0,1204,1204,1,25,0,2048,2048,1,25,0,2470,2470,1,
1535793902,25,0,2434,2434,1,24,0,2633,2632,1,25,0,615,616,1,25,0,1204,1204,1,25,0,2048,2048,1,25,0,2470,2470,1,
1535793902,25,0,2434,2434,1,24,0,2633,2632,1,24,0,615,616,1,25,0,1204,1204,1,25,0,2048,2048,1,24,0,2470,2470,1,
1535793907,25,0,2434,2434,1,24,0,2633,2632,1,24,0,615,616,1,25,0,1204,1204,1,25,0,2048,2048,1,24,0,2470,2470,1,
1535793913,25,0,2434,2434,1,24,0,2633,2632,1,25,0,615,616,1,25,0,1204,1204,1,25,0,2048,2048,1,25,0,2470,2470,1,
1535793913,25,0,2434,2434,1,25,0,2633,2632,1,25,0,615,616,1,25,0,1204,1204,1,25,0,2048,2048,1,24,0,2470,2470,1,
1535793913,25,0,2434,2434,1,25,0,2633,2632,1,25,0,615,616,1,25,0,1204,1204,1,25,0,2048,2048,1,24,0,2470,2470,1,
1535793913,25,0,2434,2434,1,25,0,2633,2632,1,25,0,615,616,1,25,0,1204,1204,1,25,0,2048,2048,1,25,0,2470,2470,1,
1535793918,25,0,2434,2434,1,25,0,2633,2632,1,25,0,615,616,1,25,0,1204,1204,1,25,0,2048,2048,1,25,0,2470,2470,1,
1535793924,25,0,2434,2434,1,25,0,2633,2632,1,25,0,615,616,1,25,0,1204,1204,1,25,0,2048,2048,1,25,0,2470,2470,1,
1535793924,25,0,2434,2434,1,25,0,2633,2632,1,24,0,615,616,1,25,0,1204,1204,1,25,0,2048,2048,1,25,0,2470,2470,1,
1535793929,25,0,2434,2434,1,25,0,2633,2632,1,24,0,615,616,1,25,0,1204,1204,1,25,0,2048,2048,1,25,0,2470,2470,1,
1535793929,25,0,2434,2434,1,25,0,2633,2632,1,24,0,615,616,1,25,0,1204,1204,1,25,0,2048,2048,1,25,0,2470,2470,1,
1535793935,25,0,2434,2434,1,25,0,2633,2632,1,24,0,615,616,1,25,0,1204,1204,1,25,0,2048,2048,1,25,0,2470,2470,1,
1535793940,25,0,2434,2434,1,25,0,2633,2632,1,25,0,615,616,1,25,0,1204,1204,1,25,0,2048,2048,1,25,0,2470,2470,1,
1535793940,25,0,2434,2434,1,25,0,2633,2632,1,25,0,615,616,1,25,0,1204,1204,1,25,0,2048,2048,1,25,0,2470,2470,1,
1535793946,25,0,2434,2434,1,25,0,2633,2632,1,25,0,615,616,1,25,0,1204,1204,1,25,0,2048,2048,1,25,0,2470,2470,1,
1535793946,25,0,2434,2434,1,25,0,2633,2632,1,25,0,615,616,1,25,0,1204,1204,1,25,0,2048,2048,1,24,0,2470,2470,1,
1535793956,25,0,2434,2434,1,25,0,2633,2632,1,25,0,615,616,1,25,0,1204,1204,1,25,0,2048,2048,1,24,0,2470,2470,1,
1535793962,25,0,2434,2434,1,25,0,2633,2632,1,25,0,615,616,1,25,0,1204,1204,1,25,0,2048,2048,1,25,0,2470,2470,1,
1535793962,25,0,2434,2434,1,25,0,2633,2632,1,25,0,615,616,1,25,0,1204,1204,1,25,0,2048,2048,1,25,0,2470,2470,1,
1535793967,25,0,2434,2434,1,25,0,2633,2632,1,25,0,615,616,1,25,0,1204,1204,1,25,0,2048,2048,1,25,0,2470,2470,1,
1535793967,25,0,2434,2434,1,25,0,2633,2632,1,25,0,615,616,1,25,0,1204,1204,1,25,0,2048,2048,1,25,0,2470,2470,1,
1535793973,25,0,2434,2434,1,25,0,2633,2632,1,25,0,615,616,1,25,0,1204,1204,1,25,0,2048,2048,1,25,0,2470,2470,1,
1535793978,25,0,2434,2434,1,25,0,2633,2632,1,25,0,615,616,1,25,0,1204,1204,1,25,0,2048,2048,1,24,0,2470,2470,1,
1535793978,25,0,2434,2434,1,25,0,2633,2632,1,25,0,615,616,1,25,0,1204,1204,1,25,0,2048,2048,1,25,0,2470,2470,1,
1535793978,25,0,2434,2434,1,25,0,2633,2632,1,25,0,615,616,1,25,0,1204,1204,1,25,0,2048,2048,1,25,0,2470,2470,1,
1535793978,25,0,2434,2434,1,25,0,2633,2632,1,25,0,615,616,1,25,0,1204,1204,1,25,0,2048,2048,1,25,0,2470,2470,1,
1535793984,25,0,2434,2434,1,25,0,2633,2632,1,25,0,615,616,1,25,0,1204,1204,1,25,0,2048,2048,1,25,0,2470,2470,1,
1535793989,25,0,2434,2434,1,25,0,2633,2632,1,25,0,615,616,1,25,0,1204,1204,1,25,0,2048,2048,1,25,0,2470,2470,1,
1535793989,25,0,2434,2434,1,25,0,2633,2632,1,25,0,615,616,1,25,0,1204,1204,1,25,0,2048,2048,1,25,0,2470,2470,1,
1535793994,25,0,2434,2434,1,25,0,2633,2632,1,25,0,615,616,1,25,0,1204,1204,1,25,0,2048,2048,1,25,0,2470,2470,1,
1535793994,25,0,2434,2434,1,25,0,2633,2632,1,24,0,615,616,1,25,0,1204,1204,1,25,0,2048,2048,1,25,0,2470,2470,1,
1535794000,25,0,2434,2434,1,25,0,2633,2632,1,24,0,615,616,1,25,0,1204,1204,1,25,0,2048,2048,1,25,0,2470,2470,1,
1535794005,25,0,2434,2434,1,25,0,2633,2632,1,25,0,615,616,1,25,0,1204,1204,1,25,0,2048,2048,1,25,0,2470,2470,1,
1535794005,25,0,2434,2434,1,25,0,2633,2632,1,25,0,615,616,1,25,0,1204,1204,1,25,0,2048,2048,1,25,0,2470,2470,1,
1535794011,25,0,2434,2434,1,25,0,2633,2632,1,25,0,615,616,1,25,0,1204,1204,1,25,0,2048,2048,1,25,0,2470,2470,1,
1535794011,25,0,2434,2434,1,25,0,2633,2632,1,25,0,615,616,1,25,0,1204,1204,1,25,0,2048,2048,1,25,0,2470,2470,1,
1535794016,25,0,2434,2434,1,25,0,2633,2632,1,25,0,615,616,1,25,0,1204,1204,1,25,0,2048,2048,1,25,0,2470,2470,1,
1535794022,25,0,2434,2434,1,25,0,2633,2632,1,23,0,615,616,1,25,0,1204,1204,1,25,0,2048,2048,1,25,0,2470,2470,1,
1535794022,25,0,2434,2434,1,25,0,2633,2632,1,25,0,615,616,1,25,0,1204,1204,1,25,0,2048,2048,1,25,0,2470,2470,1,
1535794027,25,0,2434,2434,1,25,0,2633,2632,1,25,0,615,616,1,25,0,1204,1204,1,25,0,2048,2048,1,25,0,2470,2470,1,
1535794027,25,0,2434,2434,1,25,0,2633,2632,1,26,0,615,616,1,25,0,1204,1204,1,25,0,2048,2048,1,25,0,2470,2470,1,
1535794033,25,0,2434,2434,1,25,0,2633,2632,1,26,0,615,616,1,25,0,1204,1204,1,25,0,2048,2048,1,25,0,2470,2470,1,
1535794038,25,0,2434,2434,1,25,0,2633,2632,1,25,0,615,616,1,25,0,1204,1204,1,25,0,2048,2048,1,25,0,2470,2470,1,
1535794038,25,0,2434,2434,1,25,0,2633,2632,1,25,0,615,616,1,25,0,1204,1204,1,25,0,2048,2048,1,25,0,2470,2470,1,
1535794038,25,0,2434,2434,1,25,0,2633,2632,1,25,0,615,616,1,25,0,1204,1204,1,25,0,2048,2048,1,25,0,2470,2470,1,
1535794038,25,0,2434,2434,1,25,0,2633,2632,1,25,0,615,616,1,25,0,1204,1204,1,25,0,2048,2048,1,25,0,2470,2470,1,
1535794044,25,0,2434,2434,1,25,0,2633,2632,1,25,0,615,616,1,25,0,1204,1204,1,25,0,2048,2048,1,25,0,2470,2470,1,
1535794049,25,0,2434,2434,1,25,0,2633,2632,1,26,0,615,616,1,25,0,1204,1204,1,25,0,2048,2048,1,25,0,2470,2470,1,
1535794049,25,0,2434,2434,1,25,0,2633,2632,1,25,0,615,616,1,25,0,1204,1204,1,25,0,2048,2048,1,26,0,2470,2470,1,
1535794055,25,0,2434,2434,1,25,0,2633,2632,1,25,0,615,616,1,25,0,1204,1204,1,25,0,2048,2048,1,26,0,2470,2470,1,
1535794055,25,0,2434,2434,1,25,0,2633,2632,1,26,0,615,616,1,25,0,1204,1204,1,25,0,2048,2048,1,25,0,2470,2470,1,
1535794060,25,0,2434,2434,1,25,0,2633,2632,1,26,0,615,616,1,25,0,1204,1204,1,25,0,2048,2048,1,25,0,2470,2470,1,
1535794065,25,0,2434,2434,1,25,0,2633,2632,1,26,0,615,616,1,25,0,1204,1204,1,25,0,2048,2048,1,25,0,2470,2470,1,
1535794065,25,0,2434,2434,1,25,0,2633,2632,1,26,0,615,616,1,25,0,1204,1204,1,26,0,2048,2048,1,25,0,2470,2470,1,
1535794071,25,0,2434,2434,1,25,0,2633,2632,1,26,0,615,616,1,25,0,1204,1204,1,26,0,2048,2048,1,25,0,2470,2470,1,
1535794071,25,0,2434,2434,1,25,0,2633,2632,1,26,0,615,616,1,25,0,1204,1204,1,26,0,2048,2048,1,25,0,2470,2470,1,
1535794076,25,0,2434,2434,1,25,0,2633,2632,1,26,0,615,616,1,25,0,1204,1204,1,26,0,2048,2048,1,25,0,2470,2470,1,
1535794082,25,0,2434,2434,1,25,0,2633,2632,1,26,0,615,616,1,25,0,1204,1204,1,26,0,2048,2048,1,26,0,2470,2470,1,
1535794082,25,0,2434,2434,1,25,0,2633,2632,1,26,0,615,616,1,26,0,1204,1204,1,26,0,2048,2048,1,26,0,2470,2470,1,
1535794087,25,0,2434,2434,1,25,0,2633,2632,1,26,0,615,616,1,26,0,1204,1204,1,26,0,2048,2048,1,26,0,2470,2470,1,
1535794087,25,0,2434,2434,1,25,0,2633,2632,1,26,0,615,616,1,26,0,1204,1204,1,26,0,2048,2048,1,26,0,2470,2470,1,
1535794093,25,0,2434,2434,1,25,0,2633,2632,1,26,0,615,616,1,26,0,1204,1204,1,26,0,2048,2048,1,26,0,2470,2470,1,
1535794098,25,0,2434,2434,1,25,0,2633,2632,1,25,0,615,616,1,26,0,1204,1204,1,26,0,2048,2048,1,26,0,2470,2470,1,
1535794098,25,0,2434,2434,1,25,0,2633,2632,1,25,0,615,616,1,26,0,1204,1204,1,26,0,2048,2048,1,26,0,2470,2470,1,
1535794098,25,0,2434,2434,1,25,0,2633,2632,1,25,0,615,616,1,26,0,1204,1204,1,26,0,2048,2048,1,26,0,2470,2470,1,
1535794098,25,0,2434,2434,1,25,0,2633,2632,1,25,0,615,616,1,26,0,1204,1204,1,26,0,2048,2048,1,26,0,2470,2470,1,
1535794104,25,0,2434,2434,1,25,0,2633,2632,1,25,0,615,616,1,26,0,1204,1204,1,26,0,2048,2048,1,26,0,2470,2470,1,
1535794109,25,0,2434,2434,1,25,0,2633,2632,1,25,0,615,616,1,26,0,1204,1204,1,26,0,2048,2048,1,25,0,2470,2470,1,
1535794109,25,0,2434,2434,1,25,0,2633,2632,1,26,0,615,616,1,26,0,1204,1204,1,26,0,2048,2048,1,26,0,2470,2470,1,
